Teams,GW 9,GW 10,GW 11,GW 12,GW 13,GW 14,GW 15,GW 16,GW 17,GW 18,GW 19,GW 20,GW 21,GW 22,GW 23,GW 24,GW 25,GW 26,GW 27,GW 28,GW 29,GW 30,GW 31,GW 32,GW 33,GW 34,GW 35,GW 36,GW 37,GW 38
Arsenal,0.37,0.32,0.34,0.18,0.36,0.21,0.45,0.22,0.1,0.24,0.18,0.23,0.23,0.23,0.47,0.15,0.26,0.41,0.34,0.05,0.32,0.35,0.27,0.3,0.24,0.27,0.13,0.14,0.18,0.36
Aston Villa,0.44,0.05,0.13,0.24,0.4,0.14,0.14,0.27,0.37,0.36,0.29,0.26,0.26,0.09,0.34,0.36,0.17,0.21,0.26,0.46,0.18,0.22,0.31,0.33,0.07,0.23,0.31,0.24,0.18,0.22
Bournemouth,0.22,0.19,0.16,0.23,0.25,0.08,0.15,0.08,0.09,0.27,0.12,0.26,0.15,0.28,0.14,0.36,0.19,0.29,0.18,0.15,0.04,0.24,0.16,0.32,0.09,0.14,0.19,0.02,0.28,0.16
Brighton,0.17,0.32,0.29,0.14,0.26,0.07,0.11,0.32,0.22,0.46,0.13,0.25,0.22,0.23,0.26,0.17,0.21,0.35,0.36,0.31,0.23,0.18,0.17,0.22,0.2,0.13,0.09,0.26,0.4,0.25
Burnley,0.18,0.22,0.36,0.31,0.26,0.31,0.09,0.13,0.4,0.17,0.23,0.22,0.26,0.14,0.26,0.14,0.18,0.26,0.26,0.3,0.21,0.04,0.35,0.22,0.46,0.22,0.07,0.33,0.2,0.44
Chelsea,0.47,0.33,0.33,0.38,0.08,0.38,0.33,0.3,0.33,0.18,0.43,0.16,0.41,0.42,0.37,0.24,0.24,0.29,0.27,0.23,0.4,0.24,0.14,0.28,0.43,0.29,0.44,0.36,0.11,0.4
Crystal Palace,0.11,0.13,0.29,0.16,0.15,0.28,0.28,0.28,0.46,0.33,0.33,0.28,0.22,0.2,0.05,0.38,0.48,0.26,0.42,0.37,0.38,0.19,0.08,0.38,0.2,0.24,0.2,0.25,0.26,0.23
Everton,0.33,0.37,0.23,0.28,0.32,0.2,0.08,0.24,0.16,0.2,0.38,0.33,0.05,0.46,0.24,0.42,0.28,0.34,0.13,0.25,0.16,0.15,0.22,0.29,0.15,0.38,0.26,0.29,0.39,0.28
Leicester,0.4,0.3,0.26,0.22,0.39,0.37,0.4,0.21,0.34,0.06,0.16,0.26,0.35,0.4,0.3,0.35,0.26,0.28,0.12,0.24,0.31,0.3,0.48,0.28,0.36,0.14,0.21,0.5,0.16,0.27
Liverpool,0.36,0.44,0.4,0.28,0.45,0.65,0.55,0.4,0.58,0.45,0.4,0.55,0.66,0.34,0.46,0.47,0.58,0.43,0.54,0.49,0.49,0.47,0.54,0.19,0.49,0.57,0.58,0.31,0.45,0.53
Man City,0.46,0.5,0.59,0.26,0.46,0.54,0.5,0.47,0.32,0.51,0.48,0.67,0.57,0.41,0.55,0.6,0.35,0.55,0.41,0.42,0.37,0.59,0.37,0.35,0.5,0.63,0.58,0.5,0.5,0.53
Man United,0.2,0.28,0.25,0.52,0.45,0.35,0.29,0.09,0.41,0.35,0.48,0.34,0.17,0.38,0.12,0.44,0.41,0.21,0.44,0.32,0.15,0.2,0.54,0.43,0.34,0.25,0.44,0.3,0.39,0.26
