"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"Output","Teams","GW 22","GW 23","GW 24","GW 25","GW 26","GW 27","GW 28","GW 29","GW 30","GW 31","GW 32","GW 33","GW 34","GW 35","GW 36","GW 37","GW 38"
"","Arsenal","1.33","1.22","1.26","1.68","1.77","1.73","0.95","2.09","1.52","1.78","2.44","1.28","1.5","1.28","0.94","1.84","2.05"
"","Aston Villa","0.92","1.2","1.61","1.38","1.24","1.4","0.96","0.96","1.22","1.13","1.24","0.6","1.22","1.29","1.11","1.44","1.34"
"","Bournemouth","1.5","1.45","1.37","1.66","0.73","1.23","1.13","0.56","1.2","0.94","1.29","0.92","1.16","1.1","0.7","1.6","1.03"
"","Brighton","0.89","1.43","1.1","1.07","1.29","0.62","1.03","0.81","1.15","0.77","0.97","1.25","0.59","0.74","1.12","1.11","1.06"
"","Burnley","0.87","1.04","0.87","1.27","1.23","1.49","0.99","1.09","0.66","1.42","0.92","0.84","1.18","0.53","1.09","1.37","1.3"
"","Cardiff","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Chelsea","2.03","1.41","1.8","1.2","1.52","1.55","1.72","1.71","1.81","1.15","1.67","2.01","1.31","0.97","2.4","0.75","1.55"
"","Crystal Palace","1.31","0.68","1.57","0.87","1.01","1.26","1.09","1.47","1.26","0.55","1.48","0.87","1.11","1.32","1.11","0.92","1.13"
"","Everton","1.48","1.34","1.39","1.31","1.29","1.17","1.22","0.99","0.74","1.56","1.18","1.01","1.72","1.01","1.78","0.78","1.7"
"","Fulham","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Huddersfield","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Leicester","2.36","1.81","2.26","1.67","1.38","1.26","2.14","2.44","1.79","2.02","1.52","1.77","1.6","1.89","1.31","1.38","1.67"
"","Liverpool","1.86","2.24","1.86","3.16","2.87","3.03","2.41","3.12","2.04","2.38","1.38","3.27","2.21","2.98","2.15","2.24","2.08"
"","Man City","2.87","2.56","1.54","2","3.26","1.9","2.85","1.96","3.21","1.96","1.46","2.77","2.75","2.38","3.35","2.59","3.78"
"","Man United","2.47","0.77","2.09","1.6","1.28","2.08","1.43","1.19","1.3","1.24","1.55","2.19","1.87","2.22","1.35","2.13","1.24"
"","Newcastle","0.84","1.01","0.92","1.59","0.97","0.87","1.35","1.16","0.8","1.48","1.15","1.37","0.62","1.09","1.03","1","0.61"
"","Norwich","0.81","1.39","0.83","0.93","0.61","0.83","0.97","0.64","1.41","1.12","0.96","1.21","1.07","1.35","0.81","1.33","0.61"
"","Sheffield United","1.43","1.02","0.8","0.91","1.48","1.28","1.26","1.67","0.98","0.86","1.08","1.15","1.08","1.06","0.84","1.19","1.22"
"","Southampton","0.89","1.16","0.98","0.56","1.51","1.66","1.25","1.29","1.45","1.34","1.22","0.86","1.03","0.92","1.37","1.28","0.89"
"","Stoke","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Swansea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Tottenham","0.99","1.76","2.57","1.24","1.94","1.33","1.66","1.77","1.63","2.21","1.05","1.83","1.85","1.93","1.51","1.58","1.41"
"","Watford","1.19","1.07","1.25","1.17","1.03","0.85","0.63","0.9","1.02","1.14","1.48","0.85","1.65","1.2","1.15","0.79","1.01"
"","West Brom","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","West Ham","0.78","1.37","0.96","1.48","0.75","0.6","1.72","1.17","1.24","1.01","1.22","1.13","1.62","1.56","1.61","0.99","1.78"
"","Wolves","1.47","1.48","0.78","1.05","1.25","2.03","1.07","1.56","1.42","1.8","1.54","1.53","0.83","1.45","1.4","1.37","1.05"
